existingItemLabel,newItemLabel,title,subtitle,statedAs,statedAsCreator2,creator,educated at,creatorNew,creatorNew2,CreatorMastersReconciled,creatorDoctoralReconciled,instance of,genre,Den,submittedTo,inception,language,pages,Leaf,page,RomanNumberedPage,degreeSupervisor,degreeSupervisor 1,degreeSupervisor 2,degreeSupervisor 3,degreeSupervisor 4,hdlURI,hdl,OCLCID
,Interventions to Improve Vaginal Health in Kenyan Women,Interventions to Improve Vaginal Health in Kenyan Women,,Jennifer E. Balkus,,Jennifer E Balkus,,,,,Jennifer E Balkus,human,doctoral thesis,"doctoral thesis by Jennifer E. Balkus, 2012",University of Washington,2012,English,"iv, 49 pages ",,49,iv,"McClelland, R. Scott(Raymond Scott),thesis advisor.",R. Scott(Raymond Scott) McClelland,,,,http://hdl.handle.net/1773/20533,1773/20533,815525525
,The Association of Smoking With Venous Thrombosis in Women and Its Modification By Exogenous Hormones,The Association of Smoking With Venous Thrombosis in Women and Its Modification By Exogenous Hormones,,Marc Blondon,,Marc Blondon,,,,Marc Blondon,,human,master's thesis,"master's thesis by Marc Blondon, 2012",University of Washington,2012,English,20 pages,,20,,"Smith, Nicholas Lannon,thesis advisor.",Nicholas Lannon Smith,,,,http://hdl.handle.net/1773/20202,1773/20202,811141119
,Role of Hiv in Cancer Survival,Role of Hiv in Cancer Survival,,Anna E. Coghill,,Anna E Coghill,,,,,Anna E Coghill,human,doctoral thesis,"doctoral thesis by Anna E. Coghill, 2012",University of Washington,2012,English,"viii, 41 pages ",,41,viii,"Newcomb, Polly Ann,thesis advisor.",Polly Ann Newcomb,,,,http://hdl.handle.net/1773/22825,1773/22825,876300732
,Risk of Infant Mortality By Race/ethnicity Among Preterm Infants At Different Gestational Ages,Risk of Infant Mortality By Race/ethnicity Among Preterm Infants At Different Gestational Ages,,Julia C. Dettinger,,Julia C Dettinger,,,,Julia C Dettinger,,human,master's thesis,"master's thesis by Julia C. Dettinger, 2012",University of Washington,2012,English,"ii, 25 pages",,25,ii,"Williams, Marcia(Marcia Swanson),thesis advisor.",Marcia(Marcia Swanson) Williams,,,,http://hdl.handle.net/1773/21908,1773/21908,850983181
,Use of Death Certificates to Identify Tuberculosis-related Deaths in Washington State,Use of Death Certificates to Identify Tuberculosis-related Deaths in Washington State,,Mark Gallivan,,Mark Gallivan,,,,Mark Gallivan,,human,master's thesis,"master's thesis by Mark Gallivan, 2012",University of Washington,2012,English,5 pages,,5,,"Goldbaum, Gary M.,thesis advisor.",Gary M. Goldbaum,,,,http://hdl.handle.net/1773/20523,1773/20523,815301990
,"Macrophage Infiltration of Human Adipose Tissue and Its Association With Systemic Inflammation, Obesity, and Metabolic Disease","Macrophage Infiltration of Human Adipose Tissue and Its Association With Systemic Inflammation, Obesity, and Metabolic Disease",,Derek K. Hagman,,Derek K Hagman,,,,Derek K Hagman,,human,master's thesis,"master's thesis by Derek K. Hagman, 2012",University of Washington,2012,English,"v, 70 pages ",,70,v,"Kratz, Mario,thesis advisor.",Mario Kratz,,,,http://hdl.handle.net/1773/22467,1773/22467,857312621
,"Contraception, Fertility Planning and Hiv-1 Risk Among African Hiv-1 Serodiscordant Couples","Contraception, Fertility Planning and Hiv-1 Risk Among African Hiv-1 Serodiscordant Couples",,Renee Heffron,,Renee Heffron,,,,,Renee Heffron,human,doctoral thesis,"doctoral thesis by Renee Heffron, 2012",University of Washington,2012,English,"v, 108 pages ",,108,v,"Baeten, Jared Murray,1973-thesis advisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/20529,1773/20529,815525741
,"Use of Glucosamine, Chondroitin, and Omega-3 Fatty Acid Supplements in Relation to Inflammation and Risk of Colorectal Cancer","Use of Glucosamine, Chondroitin, and Omega-3 Fatty Acid Supplements in Relation to Inflammation and Risk of Colorectal Cancer",,Elizabeth D. Kantor,,Elizabeth D Kantor,University of Washington School of Public Health,,,,Elizabeth D Kantor,human,doctoral thesis,"doctoral thesis by Elizabeth D. Kantor, 2012",University of Washington,2012,English,129 pages ,,129,,"White, J. Emily,thesis advisor.",J. Emily White,,,,http://hdl.handle.net/1773/22471,1773/22471,857312659
,"Effects of Traffic-related Air Pollution On Cognitive Function, Dementia Risk, and Brain Mri Findings in the Cardiovascular Health Study","Effects of Traffic-related Air Pollution On Cognitive Function, Dementia Risk, and Brain Mri Findings in the Cardiovascular Health Study",,Erin O'Brien Semmens,,Erin O'Brien Semmens,,,,,Erin O'Brien Semmens,human,doctoral thesis,"doctoral thesis by Erin O'Brien Semmens, 2012",University of Washington,2012,English,"v, 101 pages ",,101,v,"Kaufman, Joel D.,thesis advisor.",Joel D. Kaufman,,,,http://hdl.handle.net/1773/21903,1773/21903,850982849
,Abnormal Glucose Metabolism and Metabolic Syndrome in the Etiology of Head and Neck Squamous Cell Carcinoma (hnscc),Abnormal Glucose Metabolism and Metabolic Syndrome in the Etiology of Head and Neck Squamous Cell Carcinoma (hnscc),,Marni Stott-Miller,,Marni Stott-Miller,,,,,Marni Stott-Miller,human,doctoral thesis,"doctoral thesis by Marni Stott-Miller, 2012",University of Washington,2012,English,"v, 119 pages",,119,v,"Schwartz, Stephen M.,thesis advisor.",Stephen M. Schwartz,,,,http://hdl.handle.net/1773/21909,1773/21909,850986773
,New Approaches to Hiv Prevention in African Hiv Serodiscordant Couples: Antiretrovirals and Mobile Technology,New Approaches to Hiv Prevention in African Hiv Serodiscordant Couples,Antiretrovirals and Mobile Technology,Kathryn G. Curran,,Kathryn G Curran,,,,,Kathryn G Curran,human,doctoral thesis,"doctoral thesis by Kathryn G. Curran, 2013",University of Washington,2013,English,"iv, 118 pages ",,118,iv,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/25189,1773/25189,890153434
,A Cohort Study of Systemic Markers of Inflammation and Oxidative Stress and Incidence of Esophageal Adenocarcinoma,A Cohort Study of Systemic Markers of Inflammation and Oxidative Stress and Incidence of Esophageal Adenocarcinoma,,Sheetal Hardikar,,Sheetal Hardikar,,,,,Sheetal Hardikar,human,doctoral thesis,"doctoral thesis by Sheetal Hardikar, 2013",University of Washington,2013,English,97 pages ,,97,,"Vaughan, Thomas L.,degree supervisor.",Thomas L. Vaughan,,,,http://hdl.handle.net/1773/23735,1773/23735,880855012
,Understanding Risk Factors For Hiv-1 Infectiousness and Transmission: Prospective Studies in Hiv-1 Serodiscordant Couples,Understanding Risk Factors For Hiv-1 Infectiousness and Transmission,Prospective Studies in Hiv-1 Serodiscordant Couples,Erin M. Kahle,,Erin M Kahle,,,,,Erin M Kahle,human,doctoral thesis,"doctoral thesis by Erin M. Kahle, 2013",University of Washington,2013,English,"v, 119 pages ",,119,v,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/24264,1773/24264,881533590
,Correlates of Inappropriate Prescription of Antibiotics to Patients With Malaria in Uganda,Correlates of Inappropriate Prescription of Antibiotics to Patients With Malaria in Uganda,,Arianna Rubin Means,,Arianna Rubin Means,,,,Arianna Rubin Means,,human,master's thesis,"master's thesis by Arianna Rubin Means, 2013",University of Washington,2013,English,17 pages,,17,,"McClelland, R. Scott(Raymond Scott),degree supervisor.",R. Scott(Raymond Scott) McClelland,,,,http://hdl.handle.net/1773/23747,1773/23747,880909421
,Antiretroviral Therapy Initiation For Treatment and Prevention in East Africa,Antiretroviral Therapy Initiation For Treatment and Prevention in East Africa,,Andrew Mujugira,,Andrew Mujugira,,,,Andrew Mujugira,,human,master's thesis,"master's thesis by Andrew Mujugira, 2013",University of Washington,2013,English,"ix, 28 pages ",,28,ix,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/23748,1773/23748,880909582
,Identifying High Risk Children in the Emergency Department,Identifying High Risk Children in the Emergency Department,,Katie R. Nielsen,,Katie R Nielsen,,,,Katie R Nielsen,,human,master's thesis,"master's thesis by Katie R. Nielsen, 2013",University of Washington,2013,English,14 pages ,,14,,"Weiss, Noel S.,1941-degree supervisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/23734,1773/23734,880855114
,Aortic Valve Calcification As a Predictor of Cardiovascular Events in the Multi-ethnic Study of Atherosclerosis,Aortic Valve Calcification As a Predictor of Cardiovascular Events in the Multi-ethnic Study of Atherosclerosis,,David S. Owens,,David S. Owens,Washington University School of Medicine,,,David S. Owens,,human,master's thesis,"master's thesis by David S. Owens, 2013",University of Washington,2013,English,"v, 21 pages ",,21,v,"Heckbert, Susan R.,thesis advisor.",Susan R. Heckbert,,,,http://hdl.handle.net/1773/22824,1773/22824,876300128
,Fatal Breast Cancer Risk in Relation to Use of Unopposed Estrogen and Combined Hormone Therapy,Fatal Breast Cancer Risk in Relation to Use of Unopposed Estrogen and Combined Hormone Therapy,,Gaia Pocobelli,,Gaia Pocobelli,,,,,Gaia Pocobelli,human,doctoral thesis,"doctoral thesis by Gaia Pocobelli, 2013",University of Washington,2013,English,35 pages,,35,,"Weiss, Noel S.,1941-thesis advisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/22829,1773/22829,876302525
,Oral Health Status in Infants and Toddlers Enrolled in Early Head Start in Seattle and Factors Related to Their Oral Health,Oral Health Status in Infants and Toddlers Enrolled in Early Head Start in Seattle and Factors Related to Their Oral Health,,Ana Lucia Seminario,,Ana Lucia Seminario,,,,Ana Lucia Seminario,,human,master's thesis,"master's thesis by Ana Lucia Seminario, 2013",University of Washington,2013,English,21 pages,,21,,"Weiss, Noel S.,1941-degree supervisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/24266,1773/24266,881534680
,"Insights From Disease Ecology: Focus On Hand, Foot and Mouth Disease in China",Insights From Disease Ecology,"Focus On Hand, Foot and Mouth Disease in China",Jeffrey D. Stanaway,,Jeffrey D. Stanaway,University of Washington,,,,Jeffrey D. Stanaway,human,doctoral thesis,"doctoral thesis by Jeffrey D. Stanaway, 2013",University of Washington,2013,English,"xii, 75 pages ",,75,xii,"Mayer, Jonathan D.,1953-degree supervisor.",Jonathan D. Mayer,,,,http://hdl.handle.net/1773/24263,1773/24263,881532632
,"Organochlorine Pesticides, Phthalate Metabolites, and Risk of Endometriosis","Organochlorine Pesticides, Phthalate Metabolites, and Risk of Endometriosis",,Kristen Upson,,Kristen Upson,,,,,Kristen Upson,human,doctoral thesis,"doctoral thesis by Kristen Upson, 2013",University of Washington,2013,English,112 pages ,,112,,"Holt, Victoria L.,degree supervisor.",Victoria L. Holt,,,,http://hdl.handle.net/1773/23746,1773/23746,880909166
,Understanding Lung Cancer Risk Among Navajo Former Uranium Miners,Understanding Lung Cancer Risk Among Navajo Former Uranium Miners,,Sheldwin A. Yazzie,,Sheldwin A Yazzie,,,,Sheldwin A Yazzie,,human,master's thesis,"master's thesis by Sheldwin A. Yazzie, 2013",University of Washington,2013,English,27 pages,,27,,"Davis, Scott(Epidemiologist),degree supervisor.",Scott(Epidemiologist) Davis,,,,http://hdl.handle.net/1773/25190,1773/25190,890154151
,The Association Between Cardiometabolic Risk Factors and Breast Cancer Outcomes,The Association Between Cardiometabolic Risk Factors and Breast Cancer Outcomes,,Gregory S. Calip,,Gregory S Calip,University of Washington,,,,Gregory S Calip,human,doctoral thesis,"doctoral thesis by Gregory S. Calip, 2014",University of Washington,2014,English,"v, 121 pages ",,121,v,"Boudreau, Denise M.(Denise Marie),degree supervisor.",Denise M.(Denise Marie) Boudreau,,,,http://hdl.handle.net/1773/26464,1773/26464,893998270
,"Infection With Mcpyv, Kiv, Wuv, and Hpv As Potential Risk Factors For Lung Cancer","Infection With Mcpyv, Kiv, Wuv, and Hpv As Potential Risk Factors For Lung Cancer",,Danny V. Colombara,,Danny V Colombara,University of Washington,,,,Danny V Colombara,human,doctoral thesis,"doctoral thesis by Danny V. Colombara, 2014",University of Washington,2014,English,48 pages ,,48,,"Manhart, Lisa E.,degree supervisor.",Lisa E. Manhart,,,,http://hdl.handle.net/1773/26940,1773/26940,898997193
,Ethnic Differences in Sudden Cardiac Arrest,Ethnic Differences in Sudden Cardiac Arrest,,Joanna Ghobrial,,Joanna Ghobrial,,,,Joanna Ghobrial,,human,master's thesis,"master's thesis by Joanna Ghobrial, 2014",University of Washington,2014,English,32 pages ,,32,,"Heckbert, Susan R.,degree supervisor.",Susan R. Heckbert,,,,http://hdl.handle.net/1773/26481,1773/26481,894710018
,"A Survey of Salt Intake, Blood Pressure, and Non-communicable Disease Risk Factors in Viet Nam","A Survey of Salt Intake, Blood Pressure, and Non-communicable Disease Risk Factors in Viet Nam",,Paul N. Jensen,,Paul N Jensen,,,,,Paul N Jensen,human,doctoral thesis,"doctoral thesis by Paul N. Jensen, 2014",University of Washington,2014,English,58 pages ,,58,,"Heckbert, Susan R.,degree supervisor.",Susan R. Heckbert,,,,http://hdl.handle.net/1773/26465,1773/26465,896754886
,Epidemiological Linkages Between Sexually Transmitted Infections,Epidemiological Linkages Between Sexually Transmitted Infections,,Linnet N. Masese,,Linnet N Masese,,,,,Linnet N Masese,human,doctoral thesis,"doctoral thesis by Linnet N. Masese, 2014",University of Washington,2014,English,"vi, 96 pages ",,96,vi,"McClelland, R. Scott(Raymond Scott),degree supervisor.",R. Scott(Raymond Scott) McClelland,,,,http://hdl.handle.net/1773/26471,1773/26471,897757970
,Decreased Incidence of Syphilis in Both Men and Women Associated With Male Circumcision: A Prospective Study Among Hiv-1 Serodiscordant Heterosexual African Couples,Decreased Incidence of Syphilis in Both Men and Women Associated With Male Circumcision,A Prospective Study Among Hiv-1 Serodiscordant Heterosexual African Couples,Jillian Pintye,,Jillian Pintye,,,,Jillian Pintye,,human,master's thesis,"master's thesis by Jillian Pintye, 2014",University of Washington,2014,English,16 pages,,16,,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/26469,1773/26469,898588180
,Risk Factors For Hypoxia and Tachypnea Among Adolescents With Vertically-acquired Hiv in Nairobi,Risk Factors For Hypoxia and Tachypnea Among Adolescents With Vertically-acquired Hiv in Nairobi,,Engi F. Attia,,Engi F Attia,,,,Engi F Attia,,human,master's thesis,"master's thesis by Engi F. Attia, 2015",University of Washington,2015,English,22 pages ,,22,,"Weiss, Noel S.,1941-degree supervisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/33879,1773/33879,935355438
,Examining Neutralizing Antibody Activity As an Immune Correlate of Hiv-1 Superinfection,Examining Neutralizing Antibody Activity As an Immune Correlate of Hiv-1 Superinfection,,Adam S. Dingens,,Adam S Dingens,University of Washington,,,Adam S Dingens,,human,master's thesis,"master's thesis by Adam S. Dingens, 2015",University of Washington,2015,English,"iii, 33 pages ",,33,iii,"Graham, Susan(Susan Marie),degree supervisor.",Susan(Susan Marie) Graham,,,,http://hdl.handle.net/1773/33861,1773/33861,934474718
,"Strategies For the Promotion of Household Water Treatment in Ica, Peru","Strategies For the Promotion of Household Water Treatment in Ica, Peru",,Kristen Heitzinger,,Kristen Heitzinger,,,,,Kristen Heitzinger,human,doctoral thesis,"doctoral thesis by Kristen Heitzinger, 2015",University of Washington,2015,English,42 pages ,,42,,"Hawes, Stephen Edward,degree supervisor.",Stephen Edward Hawes,,,,http://hdl.handle.net/1773/33159,1773/33159,910197083
,Stochastic Network Models For Hiv-1 Transmission Dynamics,Stochastic Network Models For Hiv-1 Transmission Dynamics,,Samuel M. Jenness,,Samuel M Jenness,,,,,Samuel M Jenness,human,doctoral thesis,"doctoral thesis by Samuel M. Jenness, 2015",University of Washington,2015,English,"iv, 91 pages ",,91,iv,"Cassels, Susan Lynn,1975-degree supervisor.",Susan Lynn Cassels,,,,http://hdl.handle.net/1773/33161,1773/33161,910922990
,Recent Bacterial Vaginosis Is Associated With the Acquisition of Mycoplasma Genitalium,Recent Bacterial Vaginosis Is Associated With the Acquisition of Mycoplasma Genitalium,,Erica Lokken,,Erica M Lokken,,,,Erica M Lokken,,human,master's thesis,"master's thesis by Erica Lokken, 2015",University of Washington,2015,English,19 pages ,,19,,"Manhart, Lisa E.,degree supervisor.",Lisa E. Manhart,,,,http://hdl.handle.net/1773/33853,1773/33853,934474179
,The Association of Pediatric Obesity With Nocturnal Non-dipping On 24-hour Ambulatory Blood Pressure Monitoring,The Association of Pediatric Obesity With Nocturnal Non-dipping On 24-hour Ambulatory Blood Pressure Monitoring,,Ian Macumber,,Ian Macumber,,,,Ian Macumber,,human,master's thesis,"master's thesis by Ian Macumber, 2015",University of Washington,2015,English,12 pages ,,12,,"Weiss, Noel S.,1941-degree supervisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/33864,1773/33864,935354091
,"A Systems Approach to Mental Healthcare Provision and Suicide Prevention in Sofala, Mozambique","A Systems Approach to Mental Healthcare Provision and Suicide Prevention in Sofala, Mozambique",,Bradley H. Wagenaar,,Bradley H Wagenaar,,,,,Bradley H Wagenaar,human,doctoral thesis,"doctoral thesis by Bradley H. Wagenaar, 2015",University of Washington,2015,English,"v, 119 pages ",,119,v,"Sherr, Kenneth H.,degree supervisor.",Kenneth H. Sherr,,,,http://hdl.handle.net/1773/33863,1773/33863,935354080
,"Association of Endometrial Hyperplasia or Cancer With a History of Gestational Diabetes- Results From a Population-based Study in Washington State, 1987-2013","Association of Endometrial Hyperplasia or Cancer With a History of Gestational Diabetes- Results From a Population-based Study in Washington State, 1987-2013",,Paige D. Wartko,,Paige D Wartko,,,,Paige D Wartko,,human,master's thesis,"master's thesis by Paige D. Wartko, 2015",University of Washington,2015,English,23 pages ,,23,,"Hawes, Stephen Edward,degree supervisor.",Stephen Edward Hawes,,,,http://hdl.handle.net/1773/33881,1773/33881,935355395
,Atrial Fibrillation in an African-american Cohort: The Jackson Heart Study,Atrial Fibrillation in an African-american Cohort,The Jackson Heart Study,Thomas R. Austin,,Thomas R Austin,,,,Thomas R Austin,,human,master's thesis,"master's thesis by Thomas R. Austin, 2017",University of Washington,2017,English,25 pages,,25,,"Heckbert, Susan R.,degree supervisor.",Susan R. Heckbert,,,,http://hdl.handle.net/1773/40122,1773/40122,1004566694
,Subclinical Tuberculosis Among Hiv-infected Adults: Clinical Features and Outcomes in a South African Cohort,Subclinical Tuberculosis Among Hiv-infected Adults,Clinical Features and Outcomes in a South African Cohort,Kristina Bajema,,Kristina L Bajema,,,,Kristina L Bajema,,human,master's thesis,"master's thesis by Kristina Bajema, 2017",University of Washington,2017,English,19 pages ,,19,,"Drain, Paul K.,1974-degree supervisor.",Paul K. Drain,,,,http://hdl.handle.net/1773/40894,1773/40894,1035016993
,High Cervical Il-6 Levels Predict Spontaneous Preterm Birth Among Women in Western Kenya,High Cervical Il-6 Levels Predict Spontaneous Preterm Birth Among Women in Western Kenya,,Emily Begnel,,Emily R Begnel,,,,Emily R Begnel,,human,master's thesis,"master's thesis by Emily Begnel, 2017",University of Washington,2017,English,23 pages ,,23,,"Slyker, Jennifer,degree supervisor.",Jennifer Slyker,,,,http://hdl.handle.net/1773/40129,1773/40129,1004772484
,Modern-day Siv Viral Diversity Generated By Extensive Recombination and Cross-species Transmission,Modern-day Siv Viral Diversity Generated By Extensive Recombination and Cross-species Transmission,,Sidney M. Bell,,Sidney M Bell,,,,Sidney M Bell,,human,master's thesis,"master's thesis by Sidney M. Bell, 2017",University of Washington,2017,English,30 pages ,,30,,"Bedford, Trevor,degree supervisor.",Trevor Bedford,,,,http://hdl.handle.net/1773/40119,1773/40119,1004566679
,"Prevalence and Risk Factors For Syphilis and Hepatitis B Co-infection Among Newly-diagnosed Hiv-infected Adults in Durban, South Africa","Prevalence and Risk Factors For Syphilis and Hepatitis B Co-infection Among Newly-diagnosed Hiv-infected Adults in Durban, South Africa",,Elisabeth Brandstetter,,Elisabeth Brandstetter,,,,Elisabeth Brandstetter,,human,master's thesis,"master's thesis by Elisabeth Brandstetter, 2017",University of Washington,2017,English,25 pages ,,25,,"Drain, Paul K.,1974-degree supervisor.;Heffron, Renee,degree supervisor.",Paul K. Drain, Renee Heffron,,,http://hdl.handle.net/1773/40121,1773/40121,1004566638
,Methylomic and Transcriptomic Insights Linking Air Pollution and Atherosclerosis,Methylomic and Transcriptomic Insights Linking Air Pollution and Atherosclerosis,,Gloria C. Chi,,Gloria C Chi,,,,,Gloria C Chi,human,doctoral thesis,"doctoral thesis by Gloria C. Chi, 2016",University of Washington,2016,English,"xi, 95 pages ",,95,xi,"Kaufman, Joel D.,degree supervisor.",Joel D. Kaufman,,,,http://hdl.handle.net/1773/36673,1773/36673,957559265
,Evaluation of Zika Virus Testing Through the Washington State Department of Health,Evaluation of Zika Virus Testing Through the Washington State Department of Health,,Katrina V. Deardorff,,Katrina V Deardorff,,,,Katrina V Deardorff,,human,master's thesis,"master's thesis by Katrina V. Deardorff, 2017",University of Washington,2017,English,"ii, 13 pages",,13,ii,"Goldbaum, Gary M.,degree supervisor.",Gary M. Goldbaum,,,,http://hdl.handle.net/1773/40571,1773/40571,1015913505
,Association Between Vaginal Bacterial Microbiota and the Presence and Clinical Presentation of Vulvovaginal Candidiasis,Association Between Vaginal Bacterial Microbiota and the Presence and Clinical Presentation of Vulvovaginal Candidiasis,,McKenna Eastment,,McKenna C Eastment,,,,McKenna C Eastment,,human,master's thesis,"master's thesis by McKenna Eastment, 2016",University of Washington,2016,English,27 pages,,27,,"McClelland, R. Scott(Raymond Scott),degree supervisor.",R. Scott(Raymond Scott) McClelland,,,,http://hdl.handle.net/1773/37122,1773/37122,962192478
,Effects of Intubation Location On Risk of Ventilator Associated Events,Effects of Intubation Location On Risk of Ventilator Associated Events,,Margaret L. Lind,,Margaret L Lind,,,,Margaret L Lind,,human,master's thesis,"master's thesis by Margaret L. Lind, 2017",University of Washington,2017,English,20 pages ,,20,,"Hawes, Stephen Edward,degree supervisor.",Stephen Edward Hawes,,,,http://hdl.handle.net/1773/40128,1773/40128,1004776114
,Effect Modification of the Alcohol - Colorectal Cancer Association,Effect Modification of the Alcohol - Colorectal Cancer Association,,Sarah McNabb,,Sarah McNabb,University of Washington,,,Sarah McNabb,,human,master's thesis,"master's thesis by Sarah McNabb, 2017",University of Washington,2017,English,36 pages ,,36,,"Peters, Ulrike,degree supervisor.",Ulrike Peters,,,,http://hdl.handle.net/1773/40113,1773/40113,1011044416
,"Cattle-associated Risk Factors For Human Tuberculosis in Rural Livestock Keeping Communities, Uganda","Cattle-associated Risk Factors For Human Tuberculosis in Rural Livestock Keeping Communities, Uganda",,Julianne Meisner,,Julianne Meisner,,,,Julianne Meisner,,human,master's thesis,"master's thesis by Julianne Meisner, 2017",University of Washington,2017,English,41 pages ,,41,,"Rabinowitz, Peter MacGarr,degree supervisor.",Peter MacGarr Rabinowitz,,,,http://hdl.handle.net/1773/40130,1773/40130,1004776149
,Resolution of Sepsis-associated Acute Kidney Injury: Association With Emergency Department Fluid Management Patterns,Resolution of Sepsis-associated Acute Kidney Injury,Association With Emergency Department Fluid Management Patterns,Kristina H. Mitchell,,Kristina H Mitchell,University of Texas Medical Branch,,,Kristina H Mitchell,,human,master's thesis,"master's thesis by Kristina H. Mitchell, 2017",University of Washington,2017,English,"iv, 25 pages ",,25,iv,"Weiss, Noel S.,1941-degree supervisor.",Noel S. Weiss,,,,http://hdl.handle.net/1773/40114,1773/40114,1004566432
,Pregnancy Intention and Postpartum Depressive Symptoms: An Analysis of Prams Data,Pregnancy Intention and Postpartum Depressive Symptoms,An Analysis of Prams Data,Jennifer L. Mueller,,Jennifer Mueller,University of Nebraska–Lincoln,,,Jennifer Mueller,,human,master's thesis,"master's thesis by Jennifer L. Mueller, 2016",University of Washington,2016,English,19 pages,,19,,"Hawes, Stephen Edward,degree supervisor.",Stephen Edward Hawes,,,,http://hdl.handle.net/1773/36649,1773/36649,957557365
,Safety of Oral Tenofovir Disoproxil Fumarate-based Pre-exposure Prophylaxis For Hiv Prevention: Prospective Studies in Hiv-uninfected Men and Women,Safety of Oral Tenofovir Disoproxil Fumarate-based Pre-exposure Prophylaxis For Hiv Prevention,Prospective Studies in Hiv-uninfected Men and Women,Kenneth K. Mugwanya,,Kenneth K Mugwanya,,,,,Kenneth K Mugwanya,human,doctoral thesis,"doctoral thesis by Kenneth K. Mugwanya, 2016",University of Washington,2016,English,"iv, 173 pages ",,173,iv,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/36650,1773/36650,957557503
,Exploring Factors Associated With the Prioritization of South-to-south Partnerships By International Global Health Institutions in the Southern Hemisphere,Exploring Factors Associated With the Prioritization of South-to-south Partnerships By International Global Health Institutions in the Southern Hemisphere,,Jonathan A. Muir,,Jonathan A Muir,,,,Jonathan A Muir,,human,master's thesis,"master's thesis by Jonathan A. Muir, 2017",University of Washington,2017,English,39 pages ,,39,,"Hawes, Stephen Edward,degree supervisor.",Stephen Edward Hawes,,,,http://hdl.handle.net/1773/40570,1773/40570,1015913192
,Antiretroviral Treatment As Prevention in African Hiv-1 Serodiscordant Couples: Understanding the Challenges and Opportunities,Antiretroviral Treatment As Prevention in African Hiv-1 Serodiscordant Couples,Understanding the Challenges and Opportunities,Andrew Mujugira,,Andrew Mujugira,,,,,Andrew Mujugira,human,doctoral thesis,"doctoral thesis by Andrew Mujugira, 2016",University of Washington,2016,English,"v, 78 pages",,78,v,"Baeten, Jared Murray,1973-degree supervisor.",Jared Murray Baeten,,,,http://hdl.handle.net/1773/36672,1773/36672,957559384
,Implementation Science to Expand an Mhealth Intervention For Improving Retention in Care For Women Living With Hiv and Their Children,Implementation Science to Expand an Mhealth Intervention For Improving Retention in Care For Women Living With Hiv and Their Children,,Thomas A. Odeny,,Thomas A Odeny,,,,,Thomas A Odeny,human,doctoral thesis,"doctoral thesis by Thomas A. Odeny, 2016",University of Washington,2016,English,"viii, 122 pages ",,122,viii,"McClelland, R. Scott(Raymond Scott),degree supervisor.",R. Scott(Raymond Scott) McClelland,,,,http://hdl.handle.net/1773/37121,1773/37121,962193063
,Demographic Characteristics and Diagnostic Performance of Pathologists Who Enjoy Interpreting Melanocytic Skin Lesions,Demographic Characteristics and Diagnostic Performance of Pathologists Who Enjoy Interpreting Melanocytic Skin Lesions,,Andrea Radick,,Andrea Radick,,,,Andrea Radick,,human,master's thesis,"master's thesis by Andrea Radick, 2017",University of Washington,2017,English,28 pages ,,28,,"Elmore, Joann G.,degree supervisor.",Joann G. Elmore,,,,http://hdl.handle.net/1773/40125,1773/40125,1004776034
,"Erectile Dysfunction Drug Use, Risk Behavior, and Sexually Transmitted Diseases","Erectile Dysfunction Drug Use, Risk Behavior, and Sexually Transmitted Diseases",,Tashina Robinson,,Tashina Robinson,,,,Tashina Robinson,,human,master's thesis,"master's thesis by Tashina Robinson, 2016",University of Washington,2016,English,24 pages,,24,,"Manhart, Lisa E.,degree supervisor.",Lisa E. Manhart,,,,http://hdl.handle.net/1773/36666,1773/36666,957559161
,Comprehensive Characterization of Humoral Correlates of Human Immunodeficiency Virus 1 Superinfection Acquisition in High-risk Kenyan Women,Comprehensive Characterization of Humoral Correlates of Human Immunodeficiency Virus 1 Superinfection Acquisition in High-risk Kenyan Women,,Keshet Ronen,,Keshet Ronen,,,,Keshet Ronen,,human,master's thesis,"master's thesis by Keshet Ronen, 2017",University of Washington,2017,English,44 pages ,,44,,"Graham, Susan(Susan Marie),degree supervisor.",Susan(Susan Marie) Graham,,,,http://hdl.handle.net/1773/40123,1773/40123,1004566660
